Culture,Food,Description,Ingredients
Moroccan,Rfissa,Shredded flatbread dish with lentils and spiced chicken.,"msemen bread, chicken, lentils, fenugreek"
Moroccan,Kefta Tagine,Spiced meatballs simmered in tomato sauce with egg.,"ground beef, tomato, egg, cumin, paprika"
Moroccan,Sellou,Sweet toasted flour mixture with nuts and sesame.,"flour, almonds, sesame seeds, honey"
Moroccan,Moroccan Mint Tea,Sweet green tea infused with fresh mint leaves.,"green tea, mint, sugar"
Moroccan,Briouat,Crispy fried pastry filled with meat or almonds.,"phyllo dough, ground beef or almonds, spices"
Moroccan,Harissa Lamb Skewers,Grilled lamb skewers marinated in spicy harissa paste.,"lamb, harissa paste, garlic, cumin"
Moroccan,Taktouka,Cooked pepper and tomato salad with spices.,"bell pepper, tomato, garlic, cumin"
Moroccan,Amlou,Sweet almond and argan oil spread.,"almonds, argan oil, honey"
Moroccan,Batbout,Soft Moroccan pocket bread cooked on a griddle.,"flour, semolina, yeast, water"
Turkish,Kebab,"Grilled skewered meat, a staple of Turkish cuisine.","lamb or beef, onion, spices, skewers"
Turkish,Baklava,Layered pastry with pistachios and honey syrup.,"phyllo dough, pistachios, honey, butter"
Turkish,Menemen,Scrambled eggs cooked with tomatoes and peppers.,"eggs, tomato, green pepper, onion"
Turkish,Lahmacun,"Thin, crispy flatbread topped with spiced minced meat.","dough, ground lamb, tomato, parsley"
Turkish,Iskender Kebab,Sliced döner meat over bread with tomato sauce and yogurt.,"döner meat, bread, tomato sauce, yogurt, butter"
Turkish,Manti,"Small dumplings filled with meat, topped with yogurt.","flour, ground beef, yogurt, garlic, butter"
Turkish,Simit,Circular bread coated with sesame seeds.,"flour, yeast, sesame seeds, molasses"
Turkish,Dolma,Grape leaves or vegetables stuffed with rice and herbs.,"grape leaves, rice, pine nuts, herbs"
Turkish,Turkish Delight,Chewy sweet confection dusted with powdered sugar.,"sugar, cornstarch, rosewater, powdered sugar"
Turkish,Pide,Boat-shaped flatbread topped with cheese or meat.,"dough, cheese, ground meat, egg"
Turkish,Köfte,Seasoned grilled meatballs.,"ground beef, onion, breadcrumbs, spices"
Turkish,Çorba,"Traditional Turkish soup, often lentil-based.","red lentils, onion, cumin, broth"
Turkish,Börek,Flaky pastry filled with cheese or meat.,"phyllo dough, cheese, spinach, egg"
Turkish,Turkish Tea,Strong black tea served in small tulip glasses.,"black tea, water, sugar"
Turkish,Hünkar Beğendi,Braised lamb served over smoky eggplant puree.,"lamb, eggplant, cheese, milk"
Turkish,Pilav,Fluffy rice pilaf cooked with butter and broth.,"rice, butter, broth, vermicelli"
Turkish,Ezme,Spicy chopped tomato and pepper salad.,"tomato, pepper, onion, chili, lemon"
Turkish,Kısır,Bulgur salad with tomato paste and fresh herbs.,"bulgur, tomato paste, parsley, lemon"
Turkish,Künefe,"Sweet cheese pastry soaked in syrup, served warm.","kadayif dough, cheese, syrup, pistachios"
Turkish,Ayran,Refreshing salted yogurt drink.,"yogurt, water, salt"
Lebanese,Hummus,Creamy dip made from blended chickpeas and tahini.,"chickpeas, tahini, garlic, lemon, olive oil"
Lebanese,Tabbouleh,"Fresh parsley salad with bulgur, tomato, and lemon.","parsley, bulgur, tomato, lemon, olive oil"
Lebanese,Falafel,Fried chickpea patties seasoned with herbs and spices.,"chickpeas, garlic, cumin, coriander, parsley"
Lebanese,Kibbeh,"Ground meat and bulgur shells, fried or baked.","bulgur, ground lamb, onion, pine nuts"
Lebanese,Fattoush,Salad topped with crispy fried pita chips.,"lettuce, tomato, cucumber, pita, sumac"
Lebanese,Shawarma,Spit-roasted marinated meat served wrapped or plated.,"lamb or chicken, spices, garlic sauce, pita"
Lebanese,Baba Ghanoush,Smoky roasted eggplant dip.,"eggplant, tahini, garlic, lemon"
Lebanese,Manakish,Flatbread topped with za'atar and olive oil.,"dough, za'atar, olive oil"
Lebanese,Kafta,Spiced ground meat skewers grilled over open flame.,"ground beef, onion, parsley, spices"
Lebanese,Warak Enab,Grape leaves stuffed with rice and herbs.,"grape leaves, rice, tomato, herbs"
Lebanese,Mujadara,Lentils and rice topped with caramelized onions.,"lentils, rice, onion, cumin"
Lebanese,Sfiha,Small open-faced meat pies.,"dough, ground lamb, tomato, onion"
Lebanese,Labneh,Strained yogurt cheese served with olive oil.,"yogurt, salt, olive oil"
Lebanese,Knafeh,Sweet cheese pastry soaked in syrup topped with crushed pistachios.,"kadayif dough, cheese, syrup, pistachios"
Lebanese,Lahm bi Ajeen,Thin dough topped with spiced minced meat.,"dough, ground beef, tomato, pomegranate molasses"
Lebanese,Sambousek,Fried or baked pastries filled with meat or cheese.,"dough, ground beef or cheese, onion"
Lebanese,Toum,"Whipped garlic sauce, light and fluffy.","garlic, oil, lemon juice, salt"
Lebanese,Rice Pilaf with Vermicelli,Fluffy rice cooked with toasted vermicelli noodles.,"rice, vermicelli, butter, broth"
Lebanese,Maamoul,Shortbread cookies filled with dates or nuts.,"semolina, butter, date paste, sugar"
Lebanese,Lebanese Lemonade,Refreshing lemonade blended with fresh mint.,"lemon, sugar, mint, water"
Ethiopian,Injera,Spongy sourdough flatbread made from teff flour.,"teff flour, water"
Ethiopian,Doro Wat,Spicy chicken stew simmered in berbere sauce.,"chicken, berbere spice, onion, egg"
Ethiopian,Kitfo,Minced raw or lightly seared beef seasoned with spices.,"beef, mitmita spice, clarified butter"
Ethiopian,Shiro,"Ground chickpea stew, smooth and richly spiced.","chickpea flour, onion, garlic, berbere"
Ethiopian,Tibs,Sautéed meat cubes with onions and peppers.,"beef or lamb, onion, pepper, rosemary"
Ethiopian,Misir Wat,Spicy red lentil stew.,"red lentils, berbere, onion, garlic"
Ethiopian,Gomen,Collard greens sautéed with garlic and spices.,"collard greens, garlic, onion, ginger"
Ethiopian,Berbere Spice Blend,Fiery spice blend central to Ethiopian cooking.,"chili, garlic, ginger, fenugreek, spices"
Ethiopian,Ayib,"Fresh, mild cottage-style cheese.","milk, lemon juice or vinegar"
Ethiopian,Atkilt Wat,"Cabbage, carrot, and potato stew with turmeric.","cabbage, carrot, potato, turmeric"
Ethiopian,Bozena Shiro,Chickpea stew enriched with pieces of meat.,"chickpea flour, beef, berbere, onion"
Ethiopian,Beyaynetu,Combination platter of various vegetarian stews on injera.,"injera, lentils, vegetables, spices"
Ethiopian,Kifto Special,Seasoned raw beef mixed with spiced cottage cheese.,"beef, ayib cheese, mitmita, butter"
Ethiopian,Dabo,Traditional Ethiopian festive bread.,"flour, yeast, sugar, cardamom"
Ethiopian,Ye Beg Wat,Spicy lamb stew cooked in berbere sauce.,"lamb, berbere, onion, garlic"
Ethiopian,Fosolia,Green bean and carrot side dish with garlic.,"green beans, carrot, garlic, onion"
Ethiopian,Awaze,Spicy dipping sauce made from berbere and wine.,"berbere, wine, garlic"
Ethiopian,Chechebsa,Shredded flatbread mixed with spiced butter.,"flatbread, berbere, clarified butter"
Ethiopian,Genfo,Thick porridge served with spiced butter well.,"barley flour, water, spiced butter"
Ethiopian,Tej,"Traditional honey wine, often homemade.","honey, water, gesho leaves"
Brazilian,Feijoada,Hearty black bean stew with assorted pork cuts.,"black beans, pork, sausage, bay leaf"
Brazilian,Pão de Queijo,"Small, chewy cheese bread made with tapioca flour.","tapioca flour, cheese, egg, milk"
Brazilian,Coxinha,Fried dough filled with shredded chicken.,"chicken, flour, breadcrumbs, cream cheese"
Brazilian,Brigadeiro,Rich chocolate fudge balls rolled in sprinkles.,"condensed milk, cocoa powder, butter, sprinkles"
Brazilian,Moqueca,Fish stew cooked in coconut milk and palm oil.,"fish, coconut milk, palm oil, tomato, cilantro"
Brazilian,Churrasco,"Grilled skewered meats, a Brazilian barbecue tradition.","beef, salt, skewers"
Brazilian,Farofa,"Toasted cassava flour mixture, often served as a side.","cassava flour, butter, bacon, onion"
Brazilian,Acarajé,Fried black-eyed pea fritters filled with shrimp.,"black-eyed peas, shrimp, palm oil, onion"
Brazilian,Bolinho de Bacalhau,Fried salt cod fritters.,"salt cod, potato, egg, parsley"
Brazilian,Pastel,Deep-fried thin pastry filled with meat or cheese.,"dough, ground beef or cheese, oil"
Brazilian,Vatapá,"Creamy dish made from bread, shrimp, and coconut milk.","bread, shrimp, coconut milk, peanuts"
Brazilian,Picanha,"Grilled top sirloin cap, a prized cut of beef.","beef picanha, salt"
Brazilian,Quindim,"Sweet, glossy baked coconut and egg yolk dessert.","egg yolk, sugar, coconut, butter"
Brazilian,Caipirinha,National cocktail made with cachaça and lime.,"cachaça, lime, sugar, ice"
Brazilian,Baião de Dois,Rice and bean dish flavored with cheese and meat.,"rice, beans, cheese, dried meat"
Brazilian,Tapioca Crepe,"Crepe made from tapioca starch, filled sweet or savory.","tapioca starch, cheese or coconut, filling"
Brazilian,Casquinha de Siri,Baked crab dish served in its shell.,"crab meat, breadcrumbs, coconut milk"
Brazilian,Arroz Carreteiro,Rice cooked with dried beef and vegetables.,"rice, dried beef, tomato, onion"
Brazilian,Pamonha,Sweet corn cake steamed in corn husks.,"corn, sugar, coconut milk, husks"
Brazilian,Guaraná Refresco,Sweet carbonated soft drink made from guaraná berries.,"guaraná extract, sugar, water"
Peruvian,Ceviche,Fresh fish cured in lime juice with onion and chili.,"fish, lime juice, red onion, chili, cilantro"
Peruvian,Lomo Saltado,"Stir-fried beef with tomatoes, onions, and fries.","beef, tomato, onion, soy sauce, fries"
Peruvian,Aji de Gallina,Creamy shredded chicken in a spicy yellow pepper sauce.,"chicken, aji amarillo, bread, cheese, walnuts"
Peruvian,Causa Rellena,Layered potato dish filled with chicken or seafood.,"yellow potato, lime, aji amarillo, chicken"
Peruvian,Anticuchos,Grilled skewered beef heart marinated in spices.,"beef heart, aji panca, garlic, vinegar"
Peruvian,Rocoto Relleno,Spicy stuffed peppers filled with meat and cheese.,"rocoto pepper, ground beef, cheese, egg"
Peruvian,Papa a la Huancaína,Boiled potatoes covered in a creamy spicy cheese sauce.,"potato, aji amarillo, cheese, milk"
Peruvian,Pachamanca,Meats and vegetables cooked underground with hot stones.,"pork, chicken, potato, herbs"
Peruvian,Tacu Tacu,"Pan-fried rice and bean cake, often topped with meat.","rice, beans, onion, garlic"
Peruvian,Chupe de Camarones,Creamy shrimp chowder with potatoes and cheese.,"shrimp, potato, milk, cheese, corn"
Peruvian,Arroz con Pollo,Rice cooked with chicken and cilantro-based sauce.,"rice, chicken, cilantro, peas, carrot"
Peruvian,Suspiro a la Limeña,Sweet caramel dessert topped with meringue.,"condensed milk, egg yolk, sugar, port wine"
Peruvian,Picarones,Fried sweet potato and squash doughnuts.,"sweet potato, squash, flour, syrup"
Peruvian,Choclo con Queso,Large kernel corn served with fresh cheese.,"corn, fresh cheese"
Peruvian,Escabeche de Pescado,Fried fish served with a tangy pickled onion sauce.,"fish, onion, vinegar, aji amarillo"
Peruvian,Cuy Chactado,"Traditional fried guinea pig, an Andean delicacy.","guinea pig, garlic, cumin, oil"
Peruvian,Tamales Peruanos,Corn dough tamales filled with meat and olives.,"corn dough, pork, olives, banana leaf"
Peruvian,Sopa a la Criolla,Creamy noodle soup with beef and milk.,"noodles, beef, milk, tomato, egg"
Peruvian,Turrón de Doña Pepa,Anise-flavored layered cookie dessert with syrup.,"flour, anise, syrup, sprinkles"
Peruvian,Chicha Morada,Sweet purple corn beverage spiced with cinnamon.,"purple corn, cinnamon, pineapple, sugar"
German,Bratwurst,"Grilled German sausage, often served with mustard.","pork, spices, casing, mustard"
German,Sauerbraten,Pot roast marinated for days in vinegar and spices.,"beef, vinegar, onion, juniper berries"
German,Schnitzel,"Breaded and fried thin cutlet, usually pork or veal.","pork or veal, breadcrumbs, egg, flour"
German,Sauerkraut,"Fermented shredded cabbage, tangy and crunchy.","cabbage, salt"
German,Pretzel,Twisted bread with a chewy crust and dark exterior.,"flour, yeast, baking soda, salt"
German,Currywurst,Sliced sausage topped with curry ketchup.,"sausage, ketchup, curry powder"
German,Spätzle,"Soft egg noodles, often served with cheese.","flour, egg, milk, cheese"
German,Kartoffelsalat,"German-style potato salad, served warm or cold.","potato, vinegar, onion, mustard"
German,Rouladen,"Beef rolls filled with bacon, onion, and pickles.","beef, bacon, onion, pickles, mustard"
German,Black Forest Cake,Chocolate cake layered with cherries and whipped cream.,"chocolate cake, cherries, whipped cream, kirsch"
German,Königsberger Klopse,Meatballs served in a creamy caper sauce.,"ground meat, capers, cream, lemon"
German,Leberkäse,"Baked meatloaf, sliced and often pan-fried.","ground beef, ground pork, bacon, spices"
German,Rote Grütze,Sweet red berry pudding served with cream.,"mixed berries, sugar, cornstarch, cream"
German,Maultaschen,"Large dumplings filled with meat, spinach, and herbs.","dough, ground meat, spinach, onion"
German,Eintopf,Traditional hearty one-pot stew.,"meat, potato, carrot, cabbage"
German,Zwiebelkuchen,"Savory onion tart, often paired with wine.","dough, onion, bacon, cream, egg"
German,Apfelstrudel,Flaky pastry filled with spiced apples.,"phyllo dough, apple, cinnamon, raisins"
German,Labskaus,"Northern German dish of corned beef, potato, and beetroot.","corned beef, potato, beetroot, egg"
German,Bienenstich,Honey almond cake filled with vanilla cream.,"cake, honey, almonds, vanilla cream"
German,Glühwein,Warm spiced mulled wine popular in winter.,"red wine, cinnamon, cloves, orange"
British,Fish and Chips,Battered fried fish served with thick-cut fries.,"fish, batter, potato, oil"
British,Shepherd's Pie,Baked minced meat pie topped with mashed potato.,"lamb, mashed potato, carrot, peas"
British,Full English Breakfast,"Hearty breakfast plate with eggs, sausage, and beans.","egg, sausage, bacon, beans, toast"
British,Bangers and Mash,Sausages served over creamy mashed potato with gravy.,"sausage, potato, butter, gravy"
British,Sunday Roast,Traditional roasted meat dinner with vegetables and gravy.,"beef, roast potato, vegetables, gravy"
British,Beef Wellington,Beef tenderloin wrapped in pastry and mushroom duxelles.,"beef, mushroom, puff pastry, pate"
British,Cornish Pasty,Hand-held pastry filled with beef and vegetables.,"dough, beef, potato, swede, onion"
British,Yorkshire Pudding,Baked batter side dish served with roast dinners.,"flour, egg, milk, beef drippings"
British,Sticky Toffee Pudding,Moist date sponge cake with toffee sauce.,"dates, flour, sugar, toffee sauce"
British,Scones,"Light, crumbly baked goods served with jam and cream.","flour, butter, sugar, cream, jam"
British,Trifle,"Layered dessert with sponge, custard, and fruit.","sponge cake, custard, fruit, cream"
British,Toad in the Hole,Sausages baked in Yorkshire pudding batter.,"sausage, flour, egg, milk"
British,Lancashire Hotpot,Slow-cooked lamb and potato casserole.,"lamb, potato, onion, broth"
British,Welsh Rarebit,Cheese sauce served over toasted bread.,"cheese, ale, mustard, bread"
British,Steak and Kidney Pie,Savory pastry pie filled with beef and kidney.,"beef, kidney, pastry, gravy"
British,Black Pudding,Blood sausage often served as part of a breakfast.,"pork blood, oats, spices"
British,Eton Mess,"Dessert mixing meringue, cream, and strawberries.","meringue, cream, strawberries"
British,Bubble and Squeak,"Fried leftover vegetables, mainly potato and cabbage.","potato, cabbage, butter"
British,Ploughman's Lunch,"Cold platter of cheese, bread, and pickles.","cheese, bread, pickle, ham"
British,Victoria Sponge,Classic sponge cake filled with jam and cream.,"flour, butter, sugar, jam, cream"
Filipino,Adobo,"Meat braised in vinegar, soy sauce, and garlic.","pork or chicken, vinegar, soy sauce, garlic"
Filipino,Sinigang,Sour tamarind-based soup with meat and vegetables.,"pork, tamarind, vegetables, broth"
Filipino,Lechon,Whole roasted pig with crispy skin.,"whole pig, salt, lemongrass"
Filipino,Pancit,Stir-fried noodles with vegetables and meat.,"noodles, vegetables, soy sauce, meat"
Filipino,Lumpia,Fried spring rolls filled with meat and vegetables.,"spring roll wrapper, ground pork, vegetables"
Filipino,Sisig,Sizzling chopped pork dish with calamansi and chili.,"pork, onion, chili, calamansi"
Filipino,Kare-Kare,Peanut-based stew with oxtail and vegetables.,"oxtail, peanut sauce, vegetables, shrimp paste"
Filipino,Bicol Express,Spicy pork stew cooked in coconut milk and chili.,"pork, coconut milk, chili, shrimp paste"
Filipino,Halo-Halo,Layered shaved ice dessert with sweet toppings.,"shaved ice, fruits, beans, ube, milk"
Filipino,Pinakbet,Vegetable dish flavored with shrimp paste.,"eggplant, okra, bitter melon, shrimp paste"
Filipino,Tinola,Ginger chicken soup with green papaya.,"chicken, ginger, green papaya, chili leaves"
Filipino,Chicken Inasal,Grilled chicken marinated in vinegar and annatto.,"chicken, vinegar, annatto, lemongrass"
Filipino,Bistek,Beef slices simmered in soy sauce and calamansi.,"beef, soy sauce, calamansi, onion"
Filipino,Longganisa,Sweet and garlicky Filipino sausage.,"ground pork, garlic, sugar, casing"
Filipino,Ube Halaya,"Sweet purple yam jam, often used in desserts.","purple yam, condensed milk, butter"
Filipino,Puto,"Steamed rice cakes, soft and slightly sweet.","rice flour, sugar, baking powder"
Filipino,Bulalo,Beef bone marrow soup with vegetables.,"beef shank, bone marrow, corn, cabbage"
Filipino,Dinuguan,Savory pork blood stew.,"pork, pork blood, vinegar, chili"
Filipino,Leche Flan,Rich caramel custard dessert.,"egg yolk, condensed milk, sugar"
Filipino,Turon,Fried banana rolls coated in caramelized sugar.,"banana, jackfruit, spring roll wrapper, sugar"
Indonesian,Nasi Goreng,Indonesian-style fried rice with sweet soy sauce.,"rice, kecap manis, egg, chili, shallot"
Indonesian,Rendang,Slow-cooked spicy beef in coconut milk.,"beef, coconut milk, chili, lemongrass, spices"
Indonesian,Satay,Grilled skewered meat served with peanut sauce.,"chicken or beef, peanut sauce, skewers"
Indonesian,Gado-Gado,Vegetable salad with peanut sauce dressing.,"vegetables, tofu, egg, peanut sauce"
Indonesian,Soto Ayam,Turmeric chicken soup with noodles and herbs.,"chicken, turmeric, noodles, lime leaves"
Indonesian,Mie Goreng,Stir-fried noodles with vegetables and sweet soy sauce.,"noodles, kecap manis, egg, vegetables"
Indonesian,Sate Lilit,Balinese minced meat satay wrapped around lemongrass.,"minced fish or chicken, coconut, spices"
Indonesian,Bakso,"Meatball soup, a popular street food.","beef meatballs, broth, noodles, scallion"
Indonesian,Ayam Goreng,Crispy fried chicken marinated with spices.,"chicken, turmeric, garlic, coriander"
Indonesian,Tempeh Goreng,Fried fermented soybean cake.,"tempeh, soy sauce, garlic, oil"
Indonesian,Nasi Padang,Rice served with an assortment of spicy dishes.,"rice, rendang, vegetables, sambal"
Indonesian,Sambal,Spicy chili paste condiment central to Indonesian meals.,"chili, garlic, shallot, shrimp paste"
Indonesian,Lontong,Compressed rice cake served with savory dishes.,"rice, banana leaf"
Indonesian,Es Cendol,Sweet iced dessert drink with rice flour jelly.,"rice flour jelly, coconut milk, palm sugar"
Indonesian,Martabak Manis,Thick sweet stuffed pancake.,"flour, sugar, chocolate, cheese, condensed milk"
Indonesian,Pepes Ikan,Fish steamed in banana leaves with spices.,"fish, banana leaf, chili, turmeric"
Indonesian,Ketoprak,Rice noodle salad topped with peanut sauce.,"rice noodles, tofu, bean sprouts, peanut sauce"
Indonesian,Klepon,Sweet rice balls filled with palm sugar and coconut.,"glutinous rice flour, palm sugar, coconut"
Indonesian,Opor Ayam,Chicken cooked in mild coconut milk curry.,"chicken, coconut milk, coriander, lemongrass"
Indonesian,Es Teler,Mixed fruit dessert with coconut and condensed milk.,"avocado, jackfruit, coconut, condensed milk"
Russian,Borscht,Beet soup often served with sour cream.,"beetroot, cabbage, potato, sour cream"
Russian,Pelmeni,Small dumplings filled with meat.,"flour, ground meat, onion, sour cream"
Russian,Beef Stroganoff,Sautéed beef in a creamy mushroom sauce.,"beef, mushroom, sour cream, onion"
Russian,Blini,Thin pancakes often served with caviar or jam.,"flour, egg, milk, yeast"
Russian,Olivier Salad,Classic potato salad with peas and mayonnaise.,"potato, peas, carrot, egg, mayonnaise"
Russian,Shchi,Traditional cabbage soup.,"cabbage, potato, carrot, beef broth"
Russian,Golubtsy,Cabbage rolls stuffed with meat and rice.,"cabbage, ground beef, rice, tomato sauce"
Russian,Pirozhki,Small baked or fried buns filled with meat or potato.,"dough, ground beef or potato, onion"
Russian,Kholodets,"Savory meat jelly, traditionally served cold.","pork, beef, gelatin, garlic"
Russian,Syrniki,Fried cottage cheese pancakes.,"cottage cheese, egg, flour, sugar"
Russian,Kotleti,Pan-fried ground meat patties.,"ground beef, breadcrumbs, onion, egg"
Russian,Vinegret,Beet and vegetable salad with pickles.,"beetroot, potato, carrot, pickles"
Russian,Solyanka,Tangy soup with pickles and mixed meats.,"meat, pickles, olives, tomato"
Russian,Kasha,"Buckwheat porridge, often a breakfast staple.","buckwheat groats, water, butter"
Russian,Kulebyaka,Savory fish and rice pie.,"puff pastry, fish, rice, egg"
Russian,Salat Seledka pod Shuboy,Layered herring salad under grated beet and mayonnaise.,"herring, beetroot, potato, mayonnaise"
Russian,Draniki,Crispy fried potato pancakes.,"potato, egg, flour, onion"
Russian,Medovik,Honey layer cake with sour cream frosting.,"flour, honey, sour cream, sugar"
Russian,Kvass,Fermented beverage made from rye bread.,"rye bread, water, sugar, yeast"
Russian,Ukha,Clear fish soup with root vegetables.,"fish, potato, carrot, dill"
Jamaican,Jerk Chicken,Spicy grilled chicken marinated in scotch bonnet and allspice.,"chicken, scotch bonnet, allspice, thyme"
Jamaican,Ackee and Saltfish,National dish combining ackee fruit and salted cod.,"ackee, salt cod, onion, tomato"
Jamaican,Curry Goat,Tender goat meat simmered in warm curry spices.,"goat meat, curry powder, onion, garlic"
Jamaican,Rice and Peas,Coconut rice cooked with kidney beans.,"rice, kidney beans, coconut milk, thyme"
Jamaican,Oxtail Stew,Slow-braised oxtail in a rich savory gravy.,"oxtail, butter beans, onion, allspice"
Jamaican,Patty,Flaky pastry filled with spiced meat.,"dough, ground beef, curry powder, turmeric"
Jamaican,Escovitch Fish,Fried fish topped with pickled peppers and vegetables.,"fish, vinegar, bell pepper, onion"
Jamaican,Callaloo,Leafy green vegetable dish sautéed with onion and garlic.,"callaloo greens, onion, garlic, tomato"
Jamaican,Festival,"Sweet fried dumpling, often paired with fried fish.","flour, cornmeal, sugar, baking powder"
Jamaican,Bammy,"Flatbread made from cassava, fried or steamed.","cassava, salt, coconut milk"
Jamaican,Brown Stew Chicken,Chicken braised in a rich brown sauce.,"chicken, brown sugar, onion, thyme"
Jamaican,Jamaican Beef Patty,Spiced beef enclosed in a flaky turmeric crust.,"dough, ground beef, turmeric, scotch bonnet"
Jamaican,Fried Dumplings,"Deep-fried dough, crispy outside and soft inside.","flour, baking powder, water, oil"
Jamaican,Gungo Peas Soup,Hearty pigeon pea soup with dumplings.,"pigeon peas, dumplings, yam, coconut milk"
Jamaican,Stew Peas,Red kidney beans stewed with pig tail or beef.,"kidney beans, pig tail, coconut milk, dumplings"
Jamaican,Rundown,Fish simmered in a reduced spiced coconut sauce.,"fish, coconut milk, onion, scotch bonnet"
Jamaican,Jamaican Rum Cake,"Rich, moist cake soaked in dark rum.","flour, dried fruit, dark rum, sugar"
Jamaican,Bulla Cake,Small dense ginger-spiced cake.,"flour, molasses, ginger, baking soda"
Jamaican,Sorrel Drink,Tart red beverage made from sorrel flowers.,"sorrel, ginger, sugar, water"
Jamaican,Peanut Punch,Creamy blended peanut and milk beverage.,"peanuts, milk, sugar, nutmeg"
Nigerian,Jollof Rice,"Spiced tomato rice, a beloved West African staple.","rice, tomato, pepper, onion, spices"
Nigerian,Egusi Soup,Rich soup made from ground melon seeds.,"egusi seeds, spinach, palm oil, meat"
Nigerian,Suya,Spicy grilled skewered meat coated in peanut spice mix.,"beef, peanut powder, chili, skewers"
Nigerian,Pounded Yam,"Smooth, stretchy dough made from boiled yam.","yam, water"
Nigerian,Moin Moin,Steamed bean pudding made from ground beans.,"black-eyed peas, pepper, onion, oil"
Nigerian,Akara,"Fried bean cakes, crispy outside and soft inside.","black-eyed peas, onion, pepper, oil"
Nigerian,Efo Riro,Vegetable soup cooked with peppers and palm oil.,"spinach, palm oil, pepper, meat"
Nigerian,Ofada Rice,Local rice served with a spicy pepper sauce.,"ofada rice, pepper, palm oil, assorted meat"
Nigerian,Pepper Soup,"Spicy, light broth traditionally served with meat or fish.","meat or fish, chili, spices, broth"
Nigerian,Puff Puff,"Sweet fried dough balls, light and fluffy.","flour, sugar, yeast, oil"
Nigerian,Chin Chin,Crunchy fried sweet snack cut into small pieces.,"flour, sugar, butter, nutmeg"
Nigerian,Nkwobi,Spicy cow foot dish cooked in palm oil sauce.,"cow foot, palm oil, potash, pepper"
Nigerian,Fufu,Soft dough-like staple made from cassava.,"cassava flour, water"
Nigerian,Ogbono Soup,Draw soup thickened with ground wild mango seeds.,"ogbono seeds, palm oil, meat, spinach"
Nigerian,Asun,"Spicy grilled goat meat, chopped and seasoned.","goat meat, pepper, onion, oil"
Nigerian,Nigerian Meat Pie,Baked pastry filled with spiced meat and vegetables.,"dough, ground beef, potato, carrot"
Nigerian,Banga Soup,"Rich palm fruit soup, popular in the Niger Delta.","palm fruit, fish, spices"
Nigerian,Yam Porridge (Asaro),Mashed yam cooked in a spicy tomato sauce.,"yam, tomato, palm oil, pepper"
Nigerian,Kilishi,"Dried spiced meat, similar to jerky.","beef, peanut powder, chili, spices"
Nigerian,Zobo Drink,Refreshing hibiscus beverage flavored with ginger.,"hibiscus leaves, ginger, sugar"
